query.name	score.percentage
euVOG_1464	0.64
euVOG_1477	0
euVOG_1480	0.87
euVOG_1481	0.58
euVOG_1497	0.65
euVOG_1498	0.95
euVOG_1499	0
euVOG_150	0.44
euVOG_1507	0.82
euVOG_1508	0.59
euVOG_1518	0.67
euVOG_1521	0
euVOG_1525	0.58
euVOG_1530	0.64
euVOG_1542	0.75
euVOG_1553	0.23
euVOG_1556	0.66
euVOG_1574	0.62
euVOG_1580	0.05
euVOG_1582	0.76
euVOG_1586	0.79
euVOG_1590	0.62
euVOG_1591	0.85
euVOG_1597	0.85
euVOG_1615	0.95
euVOG_1621	0.5
euVOG_1629	0.96
euVOG_1630	0.83
euVOG_1636	0.85
euVOG_1642	0.68
euVOG_1644	0
euVOG_1645	0.75
euVOG_1658	0.72
euVOG_1663	0.96
euVOG_1668	0.78
euVOG_1672	0.75
euVOG_1675	0.54
euVOG_1685	0.84
euVOG_1691	0.73
euVOG_1692	0.73
euVOG_17	0.94
euVOG_1702	0
euVOG_171	0.65
euVOG_1710	0.67
euVOG_1711	0.57
euVOG_1724	0.8
euVOG_1729	0.57
euVOG_1731	0.63
euVOG_1732	0.76
euVOG_1737	0.45
euVOG_1738	0.69
euVOG_1761	0.85
euVOG_1762	0.6
euVOG_1763	0.48
euVOG_1768	0.76
euVOG_1781	0.44
euVOG_1784	0.87
euVOG_1786	0.73
euVOG_1795	0.91
euVOG_1796	0.68
euVOG_1800	0.74
euVOG_1803	0.59
euVOG_1820	0.96
euVOG_1829	0.28
euVOG_183	0.89
euVOG_1843	0.7
euVOG_1845	0
euVOG_1852	0.76
euVOG_1861	0.73
euVOG_1869	0.93
euVOG_188	0.39
euVOG_189	0.89
euVOG_1905	0.34
euVOG_1907	0.57
euVOG_1919	0.77
euVOG_1931	0.73
euVOG_1941	0.58
euVOG_1960	0.8
euVOG_1961	0.43
euVOG_1962	0.87
euVOG_1973	0.2
euVOG_1981	0.96
euVOG_1985	0.77
euVOG_1986	0.87
euVOG_1994	0.68
euVOG_1995	0.3
euVOG_200	0.77
euVOG_201	0.85
euVOG_2021	0.97
euVOG_2025	0.86
euVOG_2026	0.61
euVOG_2031	0.4
euVOG_2033	0.69
euVOG_2034	0.46
euVOG_2036	0.85
euVOG_2037	0.77
euVOG_2040	0.82
euVOG_2049	0.8
euVOG_2055	0.83
euVOG_2057	0.19
euVOG_2068	0.29
euVOG_2074	0
euVOG_2080	0.36
euVOG_2081	0.53
euVOG_2083	0.65
euVOG_209	0.97
euVOG_2090	0.78
euVOG_2111	0.2
euVOG_2114	0.94
euVOG_213	0.64
euVOG_2134	0.74
euVOG_2138	0.77
euVOG_2142	0.71
euVOG_2158	0.49
euVOG_2159	0.34
euVOG_2160	0.8
euVOG_2164	0.93
euVOG_2165	0.66
euVOG_2170	0.66
euVOG_2176	0.78
euVOG_2217	0.28
euVOG_2218	0.78
euVOG_2219	0.77
euVOG_2224	0.76
euVOG_2228	0.59
euVOG_2229	0.66
euVOG_2233	0.84
euVOG_224	0.75
euVOG_2279	0.43
euVOG_2304	0.75
euVOG_2306	0.77
euVOG_2309	0.55
euVOG_2311	0.84
euVOG_2327	0.64
euVOG_2361	0.51
euVOG_2373	0.54
euVOG_2382	0.9
euVOG_2384	0.66
euVOG_239	0.83
euVOG_2393	0.61
euVOG_2394	0.67
euVOG_2395	0
euVOG_2396	0.57
euVOG_2406	0.4
euVOG_2412	0.53
euVOG_2416	0.9
euVOG_2427	0.92
euVOG_243	0.25
euVOG_2433	0.69
euVOG_2434	0.86
euVOG_2436	0.71
euVOG_2440	0.65
euVOG_2474	0.84
euVOG_2476	0.86
euVOG_2478	0.46
euVOG_2484	0.77
euVOG_2488	0.63
euVOG_2492	0.08
euVOG_2494	0.76
euVOG_2499	0.7
euVOG_25	0.92
euVOG_2522	0
euVOG_2525	0.6
euVOG_2538	0.16
euVOG_2539	0.25
euVOG_2542	0.28
euVOG_2563	0.83
euVOG_2566	0.13
euVOG_2568	0.79
euVOG_2569	0.68
euVOG_2574	0.52
euVOG_2575	0.5
euVOG_2579	0.76
euVOG_2586	0.93
euVOG_2593	0.46
euVOG_2609	0.58
euVOG_2617	0.71
euVOG_2629	0.89
euVOG_2632	0.73
euVOG_2634	0.89
euVOG_2636	0.26
euVOG_264	0.48
euVOG_2645	0.84
euVOG_2646	0.81
euVOG_2652	0
euVOG_2666	0.55
euVOG_267	0.21
euVOG_2671	0.21
euVOG_2673	0.8
euVOG_2680	0.76
euVOG_2686	0
euVOG_269	0.36
euVOG_2705	0.68
euVOG_274	0.91
euVOG_2744	0.7
euVOG_2745	0.9
euVOG_275	0.97
euVOG_2757	0.65
euVOG_2765	0.31
euVOG_2778	0.68
euVOG_2779	0.48
euVOG_2788	0.92
euVOG_2801	0.71
euVOG_2809	0.8
euVOG_2811	0.8
euVOG_2814	0.24
euVOG_2816	0.44
euVOG_2817	0.68
euVOG_282	0.97
euVOG_2824	0.81
euVOG_2841	0
euVOG_2863	0.55
euVOG_2865	0.91
euVOG_2867	0.64
euVOG_2878	0.14
euVOG_288	0.86
euVOG_29	0.73
euVOG_2908	0.73
euVOG_2909	0.13
euVOG_2916	0.9
euVOG_2918	0.23
euVOG_2924	0.85
euVOG_2937	0.87
euVOG_2967	0.71
euVOG_2976	0.69
euVOG_2981	0.39
euVOG_2985	0.67
euVOG_2987	0.64
euVOG_299	0.9
euVOG_2994	0.07
euVOG_2996	0.41
euVOG_2998	0.78
euVOG_3002	0.52
euVOG_3003	0.92
euVOG_3005	0
euVOG_3014	0.83
euVOG_3022	0.81
euVOG_3023	0.89
euVOG_3030	0.59
euVOG_3034	0.36
euVOG_3037	0.06
euVOG_3042	0.82
euVOG_3046	0.33
euVOG_3057	0.88
euVOG_3088	0.29
euVOG_3089	0.76
euVOG_3099	0.26
euVOG_3100	0.8
euVOG_3103	0.8
euVOG_3116	0.77
euVOG_3117	0.89
euVOG_3122	0
euVOG_3132	0
euVOG_3134	0.8
euVOG_3135	0.53
euVOG_3142	0.58
euVOG_3143	0.67
euVOG_315	0.95
euVOG_3155	0.61
euVOG_316	0.29
euVOG_3163	0.95
euVOG_3177	0.85
euVOG_3178	0.5
euVOG_3182	0
euVOG_319	0.57
euVOG_3190	0
euVOG_3198	0.81
euVOG_3199	0.62
euVOG_3201	0.68
euVOG_3202	0.5
euVOG_3203	0.49
euVOG_3206	0.05
euVOG_3209	0.58
euVOG_3218	0.49
euVOG_3221	0.76
euVOG_3230	0
euVOG_3239	0.65
euVOG_3241	0.8
euVOG_3246	0
euVOG_3251	0.8
euVOG_3253	0.75
euVOG_3260	0.84
euVOG_3265	0.26
euVOG_3271	0.44
euVOG_3276	0.73
euVOG_3278	0.39
euVOG_3285	0.85
euVOG_329	0.9
euVOG_3291	0.51
euVOG_3294	0.64
euVOG_330	0.77
euVOG_3307	0.35
euVOG_331	0.8
euVOG_3310	0
euVOG_3314	0.58
euVOG_3323	0.73
euVOG_3340	0.48
euVOG_3341	0.76
euVOG_3342	0.87
euVOG_335	0.65
euVOG_3353	0.32
euVOG_3360	0.9
euVOG_3364	0.92
euVOG_3365	0.89
euVOG_3380	0.81
euVOG_3393	0.84
euVOG_3400	0.93
euVOG_3410	0.8
euVOG_3426	0.85
euVOG_3436	0.66
euVOG_3442	0.95
euVOG_3448	0.92
euVOG_346	0.83
euVOG_3460	0.83
euVOG_347	0.37
euVOG_3480	0.78
euVOG_3482	0.85
euVOG_3498	0
euVOG_3504	0.19
euVOG_3509	0.56
euVOG_3510	0.08
euVOG_3515	0.6
euVOG_353	0.68
euVOG_355	0
euVOG_3561	0.8
euVOG_3597	0.43
euVOG_3600	0
euVOG_3601	0.25
euVOG_3602	0.91
euVOG_362	0.81
euVOG_3626	0.77
euVOG_3632	0.65
euVOG_3635	0.86
euVOG_3636	0.74
euVOG_3640	0.76
euVOG_3652	0.9
euVOG_3674	0.43
euVOG_3677	0.85
euVOG_3680	0.04
euVOG_3681	0.58
euVOG_37	0.68
euVOG_370	0.56
euVOG_3741	0
euVOG_3743	0.24
euVOG_3747	0.54
euVOG_3755	0.82
euVOG_3765	0.12
euVOG_3770	0.79
euVOG_3782	0
euVOG_3810	0.64
euVOG_3812	0
euVOG_3817	0
euVOG_3826	0
euVOG_3828	0.63
euVOG_3830	0.37
euVOG_3846	0.36
euVOG_3848	0
euVOG_3863	0.63
euVOG_387	0.82
euVOG_3912	0.79
euVOG_3916	0.45
euVOG_3919	0
euVOG_3922	0
euVOG_3923	0.93
euVOG_3927	0.05
euVOG_3929	0.41
euVOG_3930	0
euVOG_3931	0.88
euVOG_394	0.88
euVOG_3956	0.39
euVOG_3958	0.86
euVOG_3963	0.89
euVOG_3978	0
euVOG_3994	0.5
euVOG_400	0
euVOG_4000	0.55
euVOG_4017	0.87
euVOG_4039	0.86
euVOG_4042	0.57
euVOG_4047	0
euVOG_4049	0.93
euVOG_4063	0.74
euVOG_4081	0.16
euVOG_4087	0.71
euVOG_4088	0.76
euVOG_4111	0.3
euVOG_4113	0.19
euVOG_4116	0.46
euVOG_4117	0.32
euVOG_4122	0
euVOG_4126	0.92
euVOG_4140	0.47
euVOG_4155	0.54
euVOG_4156	0.55
euVOG_4158	0.78
euVOG_4178	0.59
euVOG_419	0.29
euVOG_4197	0.94
euVOG_4199	0.21
euVOG_42	0.27
euVOG_4212	0
euVOG_4217	0.59
euVOG_4218	0
euVOG_4219	0.5
euVOG_4235	0.62
euVOG_4243	0.13
euVOG_4278	0
euVOG_4295	0.31
euVOG_4298	0.78
euVOG_4301	0.32
euVOG_4315	0.96
euVOG_4329	0.36
euVOG_4331	0.73
euVOG_4343	0.86
euVOG_4355	0.63
euVOG_436	0.7
euVOG_4362	0.63
euVOG_437	0.69
euVOG_4381	0.66
euVOG_4386	0.89
euVOG_4394	0
euVOG_4396	0.93
euVOG_4405	0.91
euVOG_4415	0.93
euVOG_4421	0.77
euVOG_4429	0.84
euVOG_4432	0.92
euVOG_4439	0.44
euVOG_4442	0.16
euVOG_4450	0
euVOG_4451	0.16
euVOG_4500	0.78
euVOG_4501	0.1
euVOG_451	0.61
euVOG_4522	0.73
euVOG_4540	0.74
euVOG_4547	0.84
euVOG_4551	0.44
euVOG_4559	0.13
euVOG_4562	0.91
euVOG_4565	0
euVOG_457	0.53
euVOG_4577	0.69
euVOG_4601	0.47
euVOG_4604	0.88
euVOG_4605	0.48
euVOG_4612	0.54
euVOG_4633	0.86
euVOG_4636	0.22
euVOG_4645	0.1
euVOG_4648	0.7
euVOG_4651	0
euVOG_467	0.87
euVOG_4687	0.94
euVOG_472	0.87
euVOG_4720	0.79
euVOG_4759	0.73
euVOG_4762	0.48
euVOG_4772	0.24
euVOG_4799	0.59
euVOG_48	0
euVOG_4807	0
euVOG_4832	0.9
euVOG_4839	0.5
euVOG_4840	0.31
euVOG_4841	0.54
euVOG_4847	0.9
euVOG_4866	0.63
euVOG_4880	0.58
euVOG_4881	0.75
euVOG_4901	0.49
euVOG_4904	0.61
euVOG_4912	0.11
euVOG_4915	0.45
euVOG_4918	0.69
euVOG_4929	0.65
euVOG_4931	0.1
euVOG_4938	0.02
euVOG_4956	0
euVOG_4966	0.62
euVOG_4983	0.16
euVOG_4997	0.63
euVOG_50	0.31
euVOG_5007	0.24
euVOG_5050	0.93
euVOG_5059	0.73
euVOG_5060	0.32
euVOG_5064	0.32
euVOG_5065	0
euVOG_5083	0.88
euVOG_5086	0
euVOG_5095	0.71
euVOG_5105	0.56
euVOG_5109	0.88
euVOG_5114	0.83
euVOG_5148	0.79
euVOG_5154	0.44
euVOG_5157	0.6
euVOG_517	0.33
euVOG_5197	0.71
euVOG_520	0.43
euVOG_521	0.79
euVOG_5211	0.93
euVOG_5239	0.95
euVOG_526	0.61
euVOG_5279	0.59
euVOG_5283	0.86
euVOG_5299	0.96
euVOG_5300	0.4
euVOG_5315	0.73
euVOG_532	0.92
euVOG_5320	0.64
euVOG_5321	0.77
euVOG_5335	0.95
euVOG_5336	0.82
euVOG_5337	0.84
euVOG_5382	0.35
euVOG_539	0.85
euVOG_5396	0.62
euVOG_5403	0.8
euVOG_5409	0.66
euVOG_5412	0.2
euVOG_544	0.86
euVOG_5448	0.76
euVOG_5474	0.5
euVOG_5481	0.93
euVOG_5500	0
euVOG_5502	0
euVOG_5537	0.7
euVOG_554	0.9
euVOG_5540	0.32
euVOG_5554	0.48
euVOG_5565	0.76
euVOG_559	0.91
euVOG_5593	0.54
euVOG_5594	0.07
euVOG_5600	0.72
euVOG_563	0.52
euVOG_5631	0
euVOG_5637	0.79
euVOG_5641	0.74
euVOG_5645	0.51
euVOG_5646	0.95
euVOG_565	0.76
euVOG_5654	0.93
euVOG_5681	0.69
euVOG_5697	0.88
euVOG_5699	0.82
euVOG_5708	0.63
euVOG_5711	0.8
euVOG_5724	0.8
euVOG_5727	0.57
euVOG_5737	0.66
euVOG_5756	0.69
euVOG_5763	0
euVOG_5776	0.48
euVOG_5777	0
euVOG_578	0.76
euVOG_5782	0.72
euVOG_5798	0.45
euVOG_5806	0.41
euVOG_5812	0.29
euVOG_5813	0.71
euVOG_5825	0.55
euVOG_5839	0.46
euVOG_5848	0.4
euVOG_587	0.92
euVOG_5887	0.56
euVOG_5911	0.79
euVOG_592	0
euVOG_5922	0
euVOG_5931	0.15
euVOG_5934	0.67
euVOG_60	0
euVOG_600	0.79
euVOG_6001	0.92
euVOG_6016	0.62
euVOG_6029	0.15
euVOG_6030	0.9
euVOG_6034	0.61
euVOG_6042	0
euVOG_6045	0.71
euVOG_6046	0.86
euVOG_605	0.29
euVOG_6059	0.68
euVOG_607	0.72
euVOG_6076	0.76
euVOG_6079	0.47
euVOG_6107	0.71
euVOG_6149	0.73
euVOG_615	0.74
euVOG_6150	0.59
euVOG_6156	0
euVOG_6169	0.62
euVOG_618	0.15
euVOG_6187	0.24
euVOG_6216	0.51
euVOG_6232	0.6
euVOG_6245	0.53
euVOG_6267	0
euVOG_6288	0.84
euVOG_6315	0.25
euVOG_632	0.68
euVOG_6320	0.13
euVOG_6322	0.69
euVOG_6348	0.67
euVOG_643	0
euVOG_6430	0.29
euVOG_6441	0.7
euVOG_6446	0.35
euVOG_6448	0.98
euVOG_6476	0.31
euVOG_6493	0
euVOG_6496	0.39
euVOG_6521	0.59
euVOG_6526	0.97
euVOG_6527	0.92
euVOG_6544	0.69
euVOG_6549	0.77
euVOG_655	0.64
euVOG_6550	0.16
euVOG_6582	0.68
euVOG_659	0.65
euVOG_6597	0.48
euVOG_6598	0.79
euVOG_6604	0.97
euVOG_6628	0.69
euVOG_6655	0.15
euVOG_666	0.84
euVOG_6660	0.69
euVOG_6667	0.52
euVOG_6670	0.94
euVOG_6671	0.45
euVOG_6675	0
euVOG_6677	0.58
euVOG_6682	0.71
euVOG_670	0.47
euVOG_6701	0.09
euVOG_6710	0.86
euVOG_6714	0
euVOG_6719	0.88
euVOG_6723	0.85
euVOG_6725	0.13
euVOG_68	0.97
euVOG_6801	0.55
euVOG_6813	0.58
euVOG_6817	0.64
euVOG_682	0.02
euVOG_6832	0.95
euVOG_6833	0.35
euVOG_6847	0.69
euVOG_6848	0.64
euVOG_6852	0.79
euVOG_686	0.64
euVOG_6861	0.71
euVOG_6884	0.75
euVOG_6886	0.66
euVOG_689	0.89
euVOG_6895	0.93
euVOG_69	0.39
euVOG_6904	0.46
euVOG_692	0.62
euVOG_6939	0.53
euVOG_6998	0.77
euVOG_7005	0
euVOG_7030	0.02
euVOG_7035	0.84
euVOG_7041	0.92
euVOG_7052	0.95
euVOG_7054	0.86
euVOG_7077	0.89
euVOG_714	0.84
euVOG_7142	0.63
euVOG_7163	0.88
euVOG_718	0.32
euVOG_723	0.86
euVOG_7257	0.78
euVOG_727	0.91
euVOG_7271	0.51
euVOG_7286	0.8
euVOG_7290	0.76
euVOG_7297	0.02
euVOG_7310	0.44
euVOG_7347	0.38
euVOG_7371	0.77
euVOG_738	0.96
euVOG_7393	0.33
euVOG_7417	0.63
euVOG_7434	0.32
euVOG_7441	0.74
euVOG_7460	0.55
euVOG_7478	0.63
euVOG_7481	0.39
euVOG_7491	0.81
euVOG_7503	0.06
euVOG_7505	0.77
euVOG_7522	0.61
euVOG_758	0.92
euVOG_760	0.67
euVOG_761	0.59
euVOG_762	0.93
euVOG_7626	0.63
euVOG_7627	0.01
euVOG_763	0.4
euVOG_764	0.9
euVOG_7641	0.94
euVOG_7658	0.55
euVOG_7665	0.31
euVOG_7672	0.74
euVOG_770	0.57
euVOG_773	0.79
euVOG_777	0.75
euVOG_787	0.87
euVOG_797	0
euVOG_802	0.79
euVOG_805	0.95
euVOG_824	0.02
euVOG_835	0.2
euVOG_841	0.94
euVOG_849	0.62
euVOG_863	0.88
euVOG_864	0.75
euVOG_885	0.95
euVOG_888	0.56
euVOG_891	0.02
euVOG_892	0.16
euVOG_906	0.44
euVOG_911	0.64
euVOG_917	0.61
euVOG_932	0.33
euVOG_933	0.49
euVOG_941	0.61
euVOG_95	0.5
euVOG_953	0.86
euVOG_983	0.5
euVOG_985	0.96
euVOG_992	0.71
euVOG_1	1
euVOG_10	1
euVOG_100	1
euVOG_1000	1
euVOG_1001	1
euVOG_1002	1
euVOG_1003	1
euVOG_1004	1
euVOG_1005	1
euVOG_1006	1
euVOG_1007	1
euVOG_1008	1
euVOG_1009	1
euVOG_101	1
euVOG_1010	1
euVOG_1011	1
euVOG_1012	1
euVOG_1013	1
euVOG_1014	1
euVOG_1016	1
euVOG_1017	1
euVOG_1018	1
euVOG_1019	1
euVOG_102	1
euVOG_1020	1
euVOG_1021	1
euVOG_1022	1
euVOG_1023	1
euVOG_1024	1
euVOG_1025	1
euVOG_1026	1
euVOG_1027	1
euVOG_1028	1
euVOG_1029	1
euVOG_103	1
euVOG_1030	1
euVOG_1032	1
euVOG_1033	1
euVOG_1034	1
euVOG_1035	1
euVOG_1036	1
euVOG_1038	1
euVOG_104	1
euVOG_1041	1
euVOG_1042	1
euVOG_1043	1
euVOG_1045	1
euVOG_1048	1
euVOG_1049	1
euVOG_105	1
euVOG_1050	1
euVOG_1051	1
euVOG_1052	1
euVOG_1054	1
euVOG_1055	1
euVOG_1056	1
euVOG_1057	1
euVOG_1059	1
euVOG_106	1
euVOG_1060	1
euVOG_1061	1
euVOG_1062	1
euVOG_1063	1
euVOG_1064	1
euVOG_1065	1
euVOG_1066	1
euVOG_1067	1
euVOG_1068	1
euVOG_1069	1
euVOG_107	1
euVOG_1070	1
euVOG_1071	1
euVOG_1074	1
euVOG_1075	1
euVOG_1076	1
euVOG_1077	1
euVOG_1078	1
euVOG_1079	1
euVOG_108	1
euVOG_1080	1
euVOG_1082	1
euVOG_1083	1
euVOG_1086	1
euVOG_1087	1
euVOG_1088	1
euVOG_109	1
euVOG_1090	1
euVOG_1091	1
euVOG_1093	1
euVOG_1095	1
euVOG_1096	1
euVOG_1097	1
euVOG_1098	1
euVOG_1099	1
euVOG_11	1
euVOG_1100	1
euVOG_1101	1
euVOG_1102	1
euVOG_1103	1
euVOG_1104	1
euVOG_1105	1
euVOG_1106	1
euVOG_1109	1
euVOG_111	1
euVOG_1110	1
euVOG_1114	1
euVOG_1115	1
euVOG_1116	1
euVOG_1117	1
euVOG_1118	1
euVOG_1119	1
euVOG_112	1
euVOG_1120	1
euVOG_1121	1
euVOG_1122	1
euVOG_1123	1
euVOG_1124	1
euVOG_1126	1
euVOG_1127	1
euVOG_1128	1
euVOG_1129	1
euVOG_113	1
euVOG_1130	1
euVOG_1131	1
euVOG_1132	1
euVOG_1133	1
euVOG_1134	1
euVOG_1135	1
euVOG_1136	1
euVOG_1137	1
euVOG_1138	1
euVOG_1139	1
euVOG_114	1
euVOG_1140	1
euVOG_1142	1
euVOG_1143	1
euVOG_1144	1
euVOG_1145	1
euVOG_1146	1
euVOG_1147	1
euVOG_1148	1
euVOG_1149	1
euVOG_115	1
euVOG_1151	1
euVOG_1152	1
euVOG_1153	1
euVOG_1154	1
euVOG_1155	1
euVOG_1156	1
euVOG_1157	1
euVOG_1158	1
euVOG_1159	1
euVOG_1161	1
euVOG_1162	1
euVOG_1164	1
euVOG_1165	1
euVOG_1166	1
euVOG_1167	1
euVOG_1168	1
euVOG_1169	1
euVOG_117	1
euVOG_1171	1
euVOG_1172	1
euVOG_1173	1
euVOG_1174	1
euVOG_1175	1
euVOG_1176	1
euVOG_1177	1
euVOG_1178	1
euVOG_1179	1
euVOG_118	1
euVOG_1180	1
euVOG_1182	1
euVOG_1183	1
euVOG_1185	1
euVOG_1186	1
euVOG_1187	1
euVOG_1188	1
euVOG_1189	1
euVOG_119	1
euVOG_1190	1
euVOG_1191	1
euVOG_1192	1
euVOG_1193	1
euVOG_1196	1
euVOG_1197	1
euVOG_1198	1
euVOG_1199	1
euVOG_120	1
euVOG_1202	1
euVOG_1203	1
euVOG_1204	1
euVOG_1205	1
euVOG_1206	1
euVOG_1207	1
euVOG_1208	1
euVOG_1209	1
euVOG_121	1
euVOG_1210	1
euVOG_1211	1
euVOG_1212	1
euVOG_1213	1
euVOG_1214	1
euVOG_1215	1
euVOG_1216	1
euVOG_1217	1
euVOG_1218	1
euVOG_1219	1
euVOG_122	1
euVOG_1220	1
euVOG_1222	1
euVOG_1223	1
euVOG_1224	1
euVOG_1225	1
euVOG_1226	1
euVOG_1228	1
euVOG_1229	1
euVOG_1231	1
euVOG_1232	1
euVOG_1233	1
euVOG_1235	1
euVOG_1236	1
euVOG_1237	1
euVOG_1238	1
euVOG_1239	1
euVOG_124	1
euVOG_1240	1
euVOG_1241	1
euVOG_1242	1
euVOG_1244	1
euVOG_1245	1
euVOG_1246	1
euVOG_1247	1
euVOG_1248	1
euVOG_1249	1
euVOG_1250	1
euVOG_1251	1
euVOG_1252	1
euVOG_1253	1
euVOG_1254	1
euVOG_1255	1
euVOG_1256	1
euVOG_1258	1
euVOG_126	1
euVOG_1261	1
euVOG_1264	1
euVOG_1265	1
euVOG_1266	1
euVOG_1267	1
euVOG_1268	1
euVOG_1269	1
euVOG_127	1
euVOG_1271	1
euVOG_1273	1
euVOG_1275	1
euVOG_1276	1
euVOG_1277	1
euVOG_1278	1
euVOG_1279	1
euVOG_128	1
euVOG_1280	1
euVOG_1281	1
euVOG_1282	1
euVOG_1283	1
euVOG_1284	1
euVOG_1285	1
euVOG_1286	1
euVOG_1287	1
euVOG_1288	1
euVOG_1289	1
euVOG_129	1
euVOG_1290	1
euVOG_1291	1
euVOG_1292	1
euVOG_1294	1
euVOG_1295	1
euVOG_1296	1
euVOG_1297	1
euVOG_1298	1
euVOG_1299	1
euVOG_13	1
euVOG_130	1
euVOG_1300	1
euVOG_1301	1
euVOG_1302	1
euVOG_1303	1
euVOG_1304	1
euVOG_1305	1
euVOG_1306	1
euVOG_1307	1
euVOG_1308	1
euVOG_1309	1
euVOG_131	1
euVOG_1310	1
euVOG_1311	1
euVOG_1313	1
euVOG_1314	1
euVOG_1315	1
euVOG_1317	1
euVOG_1318	1
euVOG_1319	1
euVOG_132	1
euVOG_1320	1
euVOG_1321	1
euVOG_1322	1
euVOG_1324	1
euVOG_1325	1
euVOG_1326	1
euVOG_1327	1
euVOG_1328	1
euVOG_1329	1
euVOG_133	1
euVOG_1330	1
euVOG_1331	1
euVOG_1332	1
euVOG_1333	1
euVOG_1334	1
euVOG_1335	1
euVOG_1336	1
euVOG_1337	1
euVOG_1338	1
euVOG_1339	1
euVOG_134	1
euVOG_1341	1
euVOG_1342	1
euVOG_1344	1
euVOG_1345	1
euVOG_1346	1
euVOG_1349	1
euVOG_135	1
euVOG_1350	1
euVOG_1352	1
euVOG_1353	1
euVOG_1354	1
euVOG_1355	1
euVOG_1356	1
euVOG_1357	1
euVOG_1358	1
euVOG_1359	1
euVOG_136	1
euVOG_1361	1
euVOG_1362	1
euVOG_1363	1
euVOG_1364	1
