#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
YP_077229.1_hypothetical_protein_STSV1pORF36_[Sulfolobus_virus_STSV1]                                  -          euVOG_4248           -               0.41    9.2   3.3      0.67    8.5   3.3   1.4   1   0   0   1   1   1   0 -
YP_008059229.1_tape_measure_[Halovirus_HGTV-1]                                           -          euVOG_59             -             0.0099   14.0   1.3      0.15   10.1   0.0   2.1   2   0   0   2   2   2   1 -
AAS89096.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_complete_genome.] -          euVOG_59             -               0.75    7.8  32.2      0.81    7.7  32.2   1.0   1   0   0   1   1   1   0 -
YP_025017.1_hypothetical_protein_B124_[Sulfolobus_turreted_icosahedral_virus_1]          -          euVOG_59             -               0.75    7.8  32.2      0.81    7.7  32.2   1.0   1   0   0   1   1   1   0 -
YP_009362639.1_hypothetical_protein_[Sulfolobus_islandicus_rod-shaped_virus_5] -          euVOG_3026           -              0.079    9.0   0.4     0.088    8.9   0.4   1.0   1   0   0   1   1   1   0 -
YP_009362890.1_hypothetical_protein_[Sulfolobus_islandicus_rod-shaped_virus_6] -          euVOG_3026           -              0.079    9.0   0.4     0.088    8.9   0.4   1.0   1   0   0   1   1   1   0 -
YP_009211315.1_hypothetical_protein_[Acidianus_bottle-shaped_virus_2] -          euVOG_5380           -              0.068   12.3   0.2     0.068   12.3   0.2   1.1   1   0   0   1   1   1   0 -
AAG39949.1_unknown_[Methanothermobacter_wolfeii_prophage_psiM100_complete_genome;_flanked_by_Methanothermobacter_wolfeii_MTW1216_(mtw1216)_and_MTW1215_(mtw1215)_genes_complete_cds.] -          euVOG_4393           -              0.016   14.0   1.6     0.021   13.6   1.6   1.3   1   0   0   1   1   1   0 -
NP_046959.1_hypothetical_protein_psiM2p05_[Methanobacterium_phage_psiM2]                                                                                                              -          euVOG_4393           -              0.016   14.0   1.6     0.021   13.6   1.6   1.3   1   0   0   1   1   1   0 -
NP_071810.1_unknown_[Methanothermobacter_phage_psiM100]                                                                                                                               -          euVOG_4393           -              0.016   14.0   1.6     0.021   13.6   1.6   1.3   1   0   0   1   1   1   0 -
YP_008058513.1_hypothetical_protein_HRTV5_67_[Halovirus_HRTV-5]                                                                                                                       -          euVOG_4393           -              0.095   11.5   1.0      0.11   11.2   1.0   1.2   1   0   0   1   1   1   0 -
YP_009219237.1_hypothetical_protein_[Sulfolobus_monocaudavirus_SMV2] -          euVOG_705            -               0.72    9.0  12.5       1.6    7.9  12.5   1.5   1   0   0   1   1   1   0 -
AAM88769.1_unknown_[Virus_PhiCh1_complete_genome.]                  -          euVOG_861            -              0.024   12.6   0.0     0.034   12.1   0.0   1.2   1   0   0   1   1   1   0 -
NP_666014.1_hypothetical_protein_PhiCh1p97_[Natrialba_phage_PhiCh1] -          euVOG_861            -              0.024   12.6   0.0     0.034   12.1   0.0   1.2   1   0   0   1   1   1   0 -
CAC87317.1_hypothetical_protein_[Sulfolobus_virus_SIRV-2_genomic_DNA]                          -          euVOG_6181           -             0.0028   16.8   1.7      0.13   11.4   0.0   2.3   2   0   0   2   2   2   1 -
NP_666576.1_hypothetical_protein_SIRV2gp42_[Sulfolobus_islandicus_rod-shaped_virus_2]          -          euVOG_6181           -             0.0028   16.8   1.7      0.13   11.4   0.0   2.3   2   0   0   2   2   2   1 -
CAC93989.1_hypothetical_protein_[Sulfolobus_virus_SIRV-1_complete_viral_genome]                -          euVOG_6181           -              0.005   16.0   1.9      0.12   11.6   0.0   2.2   2   0   0   2   2   2   1 -
CAG38853.1_hypothetical_protein_[Sulfolobus_islandicus_rudivirus_1_variant_XX_complete_genome] -          euVOG_6181           -              0.005   16.0   1.9      0.12   11.6   0.0   2.2   2   0   0   2   2   2   1 -
NP_666622.1_hypothetical_protein_SIRV1gp34_[Sulfolobus_islandicus_rod-shaped_virus_1]          -          euVOG_6181           -              0.005   16.0   1.9      0.12   11.6   0.0   2.2   2   0   0   2   2   2   1 -
YP_009272985.1_hypothetical_protein_[Sulfolobus_islandicus_rudivirus_3]                        -          euVOG_6181           -              0.012   14.8   2.7      0.67    9.2   0.0   2.3   2   0   0   2   2   2   0 -
CAD98948.1_hypothetical_protein_[Acidianus_filamentus_virus_1_complete_genome]                 -          euVOG_6181           -              0.016   14.4   2.1     0.052   12.8   0.1   2.0   1   1   1   2   2   2   0 -
YP_003744.1_hypothetical_protein_AFV1_ORF94_[Acidianus_filamentous_virus_1]                    -          euVOG_6181           -              0.016   14.4   2.1     0.052   12.8   0.1   2.0   1   1   1   2   2   2   0 -
YP_009408166.1_hypothetical_protein_b79_[Metallosphaera_turreted_icosahedral_virus]      -          euVOG_2741           -               0.22    9.2   4.3      0.25    9.0   4.3   1.0   1   0   0   1   1   1   0 -
AAS89096.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_complete_genome.] -          euVOG_2741           -               0.44    8.2  21.7      0.54    7.9  21.7   1.2   1   0   0   1   1   1   0 -
YP_025017.1_hypothetical_protein_B124_[Sulfolobus_turreted_icosahedral_virus_1]          -          euVOG_2741           -               0.44    8.2  21.7      0.54    7.9  21.7   1.2   1   0   0   1   1   1   0 -
CAG25620.1_hypothetical_protein_[Pyrobaculum_spherical_virus_complete_genome] -          euVOG_565            -              0.026   11.6   2.6     0.023   11.8   2.6   1.1   1   0   0   1   1   1   0 -
YP_015522.1_hypothetical_protein_PyrSV_gp01_[Pyrobaculum_spherical_virus]     -          euVOG_565            -              0.026   11.6   2.6     0.023   11.8   2.6   1.1   1   0   0   1   1   1   0 -
CAA33002.1__[Thermoproteus_tenax_virus_1_(TTV1)_genome]                       -          euVOG_565            -                3.3    4.6  25.7       4.7    4.1  25.7   1.2   1   0   0   1   1   1   0 -
YP_009008691.1_gp5_[Haloarcula_hispanica_pleomorphic_virus_2]                 -          euVOG_565            -                7.7    3.4   7.7        10    3.0   7.7   1.1   1   0   0   1   1   1   0 -
YP_008059174.1_hypothetical_protein_HCTV5_133_[Halovirus_HCTV-5] -          euVOG_948            -               0.01   11.9   0.0      0.01   11.9   0.0   1.0   1   0   0   1   1   1   0 -
YP_009211281.1_hypothetical_protein_[Acidianus_bottle-shaped_virus_2]                  -          euVOG_6666           -              0.007   13.7   0.2    0.0088   13.4   0.2   1.1   1   0   0   1   1   1   1 -
AGC34298.1_hypothetical_protein_[Halovirus_HSTV-2_complete_genome.] -          euVOG_13             -              0.053   12.9   0.1     0.062   12.7   0.1   1.3   1   0   0   1   1   1   0 -
YP_007379108.1_hypothetical_protein_HSTV2_29_[Halovirus_HSTV-2]     -          euVOG_13             -              0.053   12.9   0.1     0.062   12.7   0.1   1.3   1   0   0   1   1   1   0 -
CAJ31499.1_putative_helicase_[Acidianus_filamentous_virus_3_partial_viral_genome]                                -          euVOG_110            -            2.3e-07   28.2   2.0   2.3e-07   28.2   2.0   1.9   2   0   0   2   2   2   1 -
YP_001604351.1_putative_helicase_[Acidianus_filamentous_virus_3]                                                 -          euVOG_110            -            2.3e-07   28.2   2.0   2.3e-07   28.2   2.0   1.9   2   0   0   2   2   2   1 -
CAJ31683.1_putative_helicase_[Acidianus_filamentous_virus_8_partial_viral_genome]                                -          euVOG_110            -            3.9e-07   27.5   2.5   3.9e-07   27.5   2.5   1.8   2   0   0   2   2   2   1 -
YP_001604287.1_putative_helicase_[Acidianus_filamentous_virus_8]                                                 -          euVOG_110            -            3.9e-07   27.5   2.5   3.9e-07   27.5   2.5   1.8   2   0   0   2   2   2   1 -
CAJ31563.1_putative_helicase_[Acidianus_filamentous_virus_6_partial_viral_genome]                                -          euVOG_110            -            4.5e-07   27.2   5.5   7.5e-07   26.5   2.3   2.0   2   0   0   2   2   2   1 -
YP_001604167.1_putative_helicase_[Acidianus_filamentous_virus_6]                                                 -          euVOG_110            -            4.5e-07   27.2   5.5   7.5e-07   26.5   2.3   2.0   2   0   0   2   2   2   1 -
CAJ31623.1_putative_helicase_[Acidianus_filamentous_virus_7_partial_viral_genome]                                -          euVOG_110            -            4.6e-06   23.9   1.3   4.6e-06   23.9   1.3   1.7   2   0   0   2   2   2   1 -
YP_001604228.1_putative_helicase_[Acidianus_filamentous_virus_7]                                                 -          euVOG_110            -            4.6e-06   23.9   1.3   4.6e-06   23.9   1.3   1.7   2   0   0   2   2   2   1 -
CAJ31696.1_putative_helicase_[Acidianus_filamentous_virus_8_partial_viral_genome]                                -          euVOG_110            -            5.8e-06   23.6   0.9   5.8e-06   23.6   0.9   3.2   1   1   0   3   3   3   2 -
YP_001604300.1_putative_helicase_[Acidianus_filamentous_virus_8]                                                 -          euVOG_110            -            5.8e-06   23.6   0.9   5.8e-06   23.6   0.9   3.2   1   1   0   3   3   3   2 -
ACB37244.1_putative_Holliday_junction_branch_migration_helicase_[Acidianus_filamentous_virus_9_complete_genome.] -          euVOG_110            -            4.6e-05   20.6   2.8   8.9e-05   19.6   2.8   1.4   1   0   0   1   1   1   1 -
YP_001798528.1_putative_Holliday_junction_branch_migration_helicase_[Acidianus_filamentous_virus_9]              -          euVOG_110            -            4.6e-05   20.6   2.8   8.9e-05   19.6   2.8   1.4   1   0   0   1   1   1   1 -
AAL27718.1_putative_helicase_[Sulfolobus_islandicus_filamentous_virus_partial_genome.]                           -          euVOG_110            -            5.5e-05   20.3   1.2   5.5e-05   20.3   1.2   2.2   1   1   0   2   2   2   1 -
NP_445672.1_putative_helicase_[Sulfolobus_islandicus_filamentous_virus]                                          -          euVOG_110            -            5.5e-05   20.3   1.2   5.5e-05   20.3   1.2   2.2   1   1   0   2   2   2   1 -
ACZ35798.1_Rad3-like_helicase_[Acidianus_spindle-shaped_virus_1_complete_genome.]                                -          euVOG_110            -              0.035   11.0   3.8      0.06   10.3   0.1   2.2   2   0   0   2   2   2   0 -
YP_003331418.1_Rad3-like_helicase_[Acidianus_spindle-shaped_virus_1]                                             -          euVOG_110            -              0.035   11.0   3.8      0.06   10.3   0.1   2.2   2   0   0   2   2   2   0 -
YP_008059556.1_hypothetical_protein_HRTV4_67_[Halovirus_HRTV-4] -          euVOG_1033           -                0.1   10.5   0.1       0.1   10.5   0.1   1.1   1   0   0   1   1   1   0 -
AGC34447.1_HNH_endonuclease_[Halovirus_HVTV-1_complete_genome.] -          euVOG_6628           -            6.7e-05   21.4   0.2   8.1e-05   21.1   0.2   1.1   1   0   0   1   1   1   1 -
YP_007378983.1_HNH_endonuclease_[Halovirus_HVTV-1]              -          euVOG_6628           -            6.7e-05   21.4   0.2   8.1e-05   21.1   0.2   1.1   1   0   0   1   1   1   1 -
YP_008059118.1_HNH_protein_[Halovirus_HCTV-5]                   -          euVOG_6628           -            0.00025   19.5   0.1   0.00031   19.2   0.1   1.1   1   0   0   1   1   1   1 -
CAJ31544.1_conserved_hypothetical_protein_[Acidianus_filamentous_virus_3_partial_viral_genome] -          euVOG_1186           -               0.92    7.0  22.0       1.9    6.0  22.0   1.4   1   0   0   1   1   1   0 -
YP_001604396.1_conserved_hypothetical_protein_[Acidianus_filamentous_virus_3]                  -          euVOG_1186           -               0.92    7.0  22.0       1.9    6.0  22.0   1.4   1   0   0   1   1   1   0 -
YP_008059320.1_RNAse_HI_[Halovirus_HGTV-1] -          euVOG_5049           -              0.059   11.4   0.0     0.083   10.9   0.0   1.1   1   0   0   1   1   1   0 -
CAI44190.1_putative_ATPase_[Acidianus_rod-shaped_virus_1_complete_viral_genome] -          euVOG_5247           -              0.081   10.5   0.1      0.12    9.9   0.1   1.4   1   1   0   1   1   1   0 -
YP_001542652.1_putative_ATPase_[Acidianus_rod-shaped_virus_1]                   -          euVOG_5247           -              0.081   10.5   0.1      0.12    9.9   0.1   1.4   1   1   0   1   1   1   0 -
CCG27866.1_hypothetical_RHH_DNA-binding_protein_[Aeropyrum_coil-shaped_virus_complete_genome] -          euVOG_7211           -              0.012   13.6   0.5     0.017   13.2   0.5   1.2   1   0   0   1   1   1   0 -
ABN58493.1_membrane_protein_[Pyrococcus_abyssi_virus_1_complete_genome.]                      -          euVOG_7211           -              0.051   11.6   0.0     0.073   11.0   0.0   1.1   1   0   0   1   1   1   0 -
CAH04207.1_hypothetical_protein_[Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome] -          euVOG_3131           -             0.0043   15.2   0.2    0.0091   14.1   0.2   1.5   1   0   0   1   1   1   1 -
YP_077217.1_hypothetical_protein_STSV1pORF24_[Sulfolobus_virus_STSV1]                                  -          euVOG_3131           -             0.0043   15.2   0.2    0.0091   14.1   0.2   1.5   1   0   0   1   1   1   1 -
YP_009216732.1_putative_NAD-independent_protein_deacetylase_AcuC_[Sulfolobales_Virus_YNP2] -          euVOG_440            -            2.8e-07   27.3  18.8   3.5e-07   26.9  18.8   1.0   1   0   0   1   1   1   1 -
YP_009219932.1_putative_Exonuclease_SbcC_[Sulfolobales_virus_YNP1]                         -          euVOG_440            -            0.00023   17.6  40.2   0.00029   17.2  40.2   1.2   1   0   0   1   1   1   1 -
CCG27830.1_hypothetical_protein_[Aeropyrum_coil-shaped_virus_complete_genome]              -          euVOG_440            -             0.0025   14.2   0.3    0.0026   14.1   0.3   1.0   1   0   0   1   1   1   1 -
YP_009094226.1_hypothetical_protein_[Stygiolobus_rod-shaped_virus]                         -          euVOG_440            -              0.034   10.4   9.4     0.037   10.3   9.4   1.0   1   0   0   1   1   1   0 -
ACB37276.1_hypothetical_protein_[Acidianus_filamentous_virus_9_complete_genome.] -          euVOG_2530           -               0.02   12.6   4.4     0.021   12.4   4.4   1.0   1   0   0   1   1   1   0 -
YP_001798560.1_hypothetical_protein_AFV9_gp42_[Acidianus_filamentous_virus_9]    -          euVOG_2530           -               0.02   12.6   4.4     0.021   12.4   4.4   1.0   1   0   0   1   1   1   0 -
CAC87280.1_hypothetical_protein_[Sulfolobus_virus_SIRV-2_genomic_DNA]                 -          euVOG_2551           -             0.0036   14.7   1.4    0.0041   14.5   1.4   1.0   1   0   0   1   1   1   1 -
NP_666539.1_hypothetical_protein_SIRV2gp05_[Sulfolobus_islandicus_rod-shaped_virus_2] -          euVOG_2551           -             0.0036   14.7   1.4    0.0041   14.5   1.4   1.0   1   0   0   1   1   1   1 -
AFA44828.1_putative_integral_membrane_protein_[Thermococcus_prieurii_virus_1_complete_genome.] -          euVOG_434            -              0.059   11.6   1.2     0.075   11.3   1.2   1.2   1   0   0   1   1   1   0 -
YP_005271238.1_unnamed_protein_product_[Thermococcus_prieurii_virus_1]                         -          euVOG_434            -              0.059   11.6   1.2     0.075   11.3   1.2   1.2   1   0   0   1   1   1   0 -
ADJ54228.1_hypothetical_protein_[Hyperthermophilic_Archaeal_Virus_1_complete_genome.] -          euVOG_2942           -              0.015   14.1   2.3      0.02   13.7   2.3   1.1   1   0   0   1   1   1   0 -
YP_003773403.1_hypothetical_protein_HAV1_gp05_[Hyperthermophilic_Archaeal_Virus_1]    -          euVOG_2942           -              0.015   14.1   2.3      0.02   13.7   2.3   1.1   1   0   0   1   1   1   0 -
YP_009216745.1_hypothetical_protein_[Sulfolobales_Virus_YNP2]                              -          euVOG_291            -              0.015   12.9   2.7     0.016   12.8   2.7   1.0   1   0   0   1   1   1   0 -
ADF27766.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_2_complete_genome.] -          euVOG_291            -               0.65    7.6  13.3      0.78    7.3  13.3   1.3   1   0   0   1   1   1   0 -
YP_003591102.1_hypothetical_protein_STIV2_A118_[Sulfolobus_turreted_icosahedral_virus_2]   -          euVOG_291            -               0.65    7.6  13.3      0.78    7.3  13.3   1.3   1   0   0   1   1   1   0 -
YP_008059360.1_hypothetical_protein_HGTV1_185_[Halovirus_HGTV-1]                           -          euVOG_291            -                1.2    6.6   5.8       1.3    6.6   5.8   1.0   1   0   0   1   1   1   0 -
YP_009230284.1_hypothetical_protein_ATSV_F315_[Acidianus_tailed_spindle_virus]             -          euVOG_291            -                2.6    5.6   5.6       3.6    5.1   0.0   2.1   1   1   1   2   2   2   0 -
AAS89096.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_complete_genome.]   -          euVOG_173            -            0.00021   18.3   2.2   0.00025   18.1   2.2   1.1   1   0   0   1   1   1   1 -
YP_025017.1_hypothetical_protein_B124_[Sulfolobus_turreted_icosahedral_virus_1]            -          euVOG_173            -            0.00021   18.3   2.2   0.00025   18.1   2.2   1.1   1   0   0   1   1   1   1 -
ADF27766.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_2_complete_genome.] -          euVOG_173            -            0.00024   18.1   0.4   0.00026   18.0   0.4   1.0   1   0   0   1   1   1   1 -
YP_003591102.1_hypothetical_protein_STIV2_A118_[Sulfolobus_turreted_icosahedral_virus_2]   -          euVOG_173            -            0.00024   18.1   0.4   0.00026   18.0   0.4   1.0   1   0   0   1   1   1   1 -
AGG36566.1_hypothetical_protein_[Sulfolobales_Mexican_fusellovirus_1_complete_genome.]     -          euVOG_173            -              0.015   12.2  11.2     0.021   11.7  11.2   1.1   1   0   0   1   1   1   0 -
YP_007678021.1_hypothetical_protein_SMF1_0019_[Sulfolobales_Mexican_fusellovirus_1]        -          euVOG_173            -              0.015   12.2  11.2     0.021   11.7  11.2   1.1   1   0   0   1   1   1   0 -
ADF27772.1_hypothetical_protein_[Sulfolobus_turreted_icosahedral_virus_2_complete_genome.] -          euVOG_173            -              0.045   10.6   0.3     0.062   10.2   0.3   1.2   1   0   0   1   1   1   0 -
YP_003591108.1_hypothetical_protein_STIV2_C510_[Sulfolobus_turreted_icosahedral_virus_2]   -          euVOG_173            -              0.045   10.6   0.3     0.062   10.2   0.3   1.2   1   0   0   1   1   1   0 -
YP_009218481.1_hypothetical_protein_[Sulfolobus_monocaudavirus_SMV4]                       -          euVOG_173            -               0.14    9.0   9.2      0.18    8.7   9.2   1.3   1   0   0   1   1   1   0 -
AFD04017.1_ORF6_[Halorubrum_pleomorphic_virus_6_complete_genome.] -          euVOG_2014           -             0.0053   15.4   0.2     0.017   13.7   0.0   1.8   1   1   1   2   2   2   1 -
YP_005454290.1_ORF6_[Halorubrum_pleomorphic_virus_6]              -          euVOG_2014           -             0.0053   15.4   0.2     0.017   13.7   0.0   1.8   1   1   1   2   2   2   1 -
AFD03990.1_ORF6_[Halorubrum_pleomorphic_virus_2_complete_genome.] -          euVOG_2014           -             0.0059   15.2   0.3     0.017   13.7   0.0   1.8   1   1   1   2   2   2   1 -
YP_005454263.1_ORF6_[Halorubrum_pleomorphic_virus_2]              -          euVOG_2014           -             0.0059   15.2   0.3     0.017   13.7   0.0   1.8   1   1   1   2   2   2   1 -
YP_009218492.1_hypothetical_protein_[Sulfolobus_monocaudavirus_SMV4] -          euVOG_3737           -              0.026   13.2   0.0     0.026   13.2   0.0   1.2   1   0   0   1   1   1   0 -
AGC65551.1_capsid_protein_VP10_[Halovirus_PH1_complete_genome.]     -          euVOG_4839           -              0.014   14.1   0.0     0.016   13.9   0.0   1.1   1   0   0   1   1   1   0 -
YP_007761615.1_capsid_protein_VP10_[Haloarcula_hispanica_virus_PH1] -          euVOG_4839           -              0.014   14.1   0.0     0.016   13.9   0.0   1.1   1   0   0   1   1   1   0 -
YP_009218519.1_hypothetical_protein_[Sulfolobus_monocaudavirus_SMV4] -          euVOG_2801           -              0.015   13.5   0.7     0.042   12.0   0.1   1.8   1   1   0   2   2   2   0 -
CCG27829.1_hypothetical_zinc_ribbon_protein_[Aeropyrum_coil-shaped_virus_complete_genome] -          euVOG_4276           -               0.05   11.0   0.3     0.052   11.0   0.3   1.0   1   0   0   1   1   1   0 -
AFV51235.1_hypothetical_protein_[Sulfolobales_Mexican_rudivirus_1_complete_genome.] -          euVOG_5276           -              0.005   14.6   0.2     0.019   12.7   0.0   1.9   2   0   0   2   2   2   1 -
YP_006990086.1_hypothetical_protein_[Sulfolobales_Mexican_rudivirus_1]              -          euVOG_5276           -              0.005   14.6   0.2     0.019   12.7   0.0   1.9   2   0   0   2   2   2   1 -
ACB37255.1_putative_helicase_[Acidianus_filamentous_virus_9_complete_genome.]                                    -          euVOG_633            -            3.7e-19   67.7   4.3   9.2e-19   66.4   4.3   1.5   1   1   0   1   1   1   1 -
YP_001798539.1_putative_helicase_[Acidianus_filamentous_virus_9]                                                 -          euVOG_633            -            3.7e-19   67.7   4.3   9.2e-19   66.4   4.3   1.5   1   1   0   1   1   1   1 -
CAJ31696.1_putative_helicase_[Acidianus_filamentous_virus_8_partial_viral_genome]                                -          euVOG_633            -            5.5e-19   67.1   3.0   1.1e-18   66.1   3.0   1.4   1   1   0   1   1   1   1 -
YP_001604300.1_putative_helicase_[Acidianus_filamentous_virus_8]                                                 -          euVOG_633            -            5.5e-19   67.1   3.0   1.1e-18   66.1   3.0   1.4   1   1   0   1   1   1   1 -
CAJ31578.1_putative_helicase_[Acidianus_filamentous_virus_6_partial_viral_genome]                                -          euVOG_633            -            1.2e-18   66.0   2.6   2.2e-18   65.1   2.6   1.4   1   1   0   1   1   1   1 -
YP_001604182.1_putative_helicase_[Acidianus_filamentous_virus_6]                                                 -          euVOG_633            -            1.2e-18   66.0   2.6   2.2e-18   65.1   2.6   1.4   1   1   0   1   1   1   1 -
CAJ31513.1_putative_helicase_[Acidianus_filamentous_virus_3_partial_viral_genome]                                -          euVOG_633            -            3.6e-18   64.4   7.0     6e-18   63.7   7.0   1.3   1   1   0   1   1   1   1 -
YP_001604365.1_putative_helicase_[Acidianus_filamentous_virus_3]                                                 -          euVOG_633            -            3.6e-18   64.4   7.0     6e-18   63.7   7.0   1.3   1   1   0   1   1   1   1 -
CAJ31636.1_putative_helicase_[Acidianus_filamentous_virus_7_partial_viral_genome]                                -          euVOG_633            -            5.6e-18   63.8   3.8     1e-17   62.9   3.8   1.5   1   1   0   1   1   1   1 -
YP_001604241.1_putative_helicase_[Acidianus_filamentous_virus_7]                                                 -          euVOG_633            -            5.6e-18   63.8   3.8     1e-17   62.9   3.8   1.5   1   1   0   1   1   1   1 -
AAL27733.1_putative_helicase_[Sulfolobus_islandicus_filamentous_virus_partial_genome.]                           -          euVOG_633            -            4.5e-17   60.8   5.7   4.5e-16   57.5   5.7   2.0   1   1   0   1   1   1   1 -
NP_445687.1_putative_helicase_[Sulfolobus_islandicus_filamentous_virus]                                          -          euVOG_633            -            4.5e-17   60.8   5.7   4.5e-16   57.5   5.7   2.0   1   1   0   1   1   1   1 -
ACZ35765.1_Rad3-like_helicase_[Sulfolobus_spindle-shaped_virus_7_complete_genome.]                               -          euVOG_633            -            1.7e-09   35.9   1.1   3.7e-05   21.6   0.0   3.3   3   0   0   3   3   3   2 -
YP_003331495.1_Rad3-like_helicase_[Sulfolobus_spindle-shaped_virus_7]                                            -          euVOG_633            -            1.7e-09   35.9   1.1   3.7e-05   21.6   0.0   3.3   3   0   0   3   3   3   2 -
CAJ31683.1_putative_helicase_[Acidianus_filamentous_virus_8_partial_viral_genome]                                -          euVOG_633            -            9.4e-08   30.1   0.2   1.4e-07   29.5   0.2   1.3   1   0   0   1   1   1   1 -
YP_001604287.1_putative_helicase_[Acidianus_filamentous_virus_8]                                                 -          euVOG_633            -            9.4e-08   30.1   0.2   1.4e-07   29.5   0.2   1.3   1   0   0   1   1   1   1 -
CAJ31499.1_putative_helicase_[Acidianus_filamentous_virus_3_partial_viral_genome]                                -          euVOG_633            -              1e-07   30.0   0.0   1.8e-07   29.2   0.0   1.3   1   0   0   1   1   1   1 -
