genome	archaeal_score	phage_score	eukaryotic_score	call	difference.percentage	protein.counts
Sulfolobus_spindle-shaped_virus_5]	6348.397	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_6_complete_genome.]	4557.304	0	0	archaeal	100	33
Sulfolobus_spindle-shaped_virus_6]	4557.304	0	0	archaeal	100	33
Sulfolobus_spindle-shaped_virus_7_complete_genome.]	6932.623	31.11	0	archaeal	99.55	33
Sulfolobus_spindle-shaped_virus_7]	6932.623	31.11	0	archaeal	99.55	33
Sulfolobus_spindle-shaped_virus_Kamchatka-1_complete_genome.]	6386.543	45.05	0	archaeal	99.29	31
Sulfolobus_spindle-shaped_virus_Ragged_Hills_complete_genome.]	6034.664	28.305	0	archaeal	99.53	37
Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome]	24599.857	74.353	0	archaeal	99.7	74
Sulfolobus_turreted_icosahedral_virus_1]	5957.488	0	0	archaeal	100	36
Sulfolobus_turreted_icosahedral_virus_2_complete_genome.]	5841.944	0	26.622	archaeal	99.54	34
Sulfolobus_turreted_icosahedral_virus_2]	5841.944	0	26.622	archaeal	99.54	34
Sulfolobus_turreted_icosahedral_virus_complete_genome.]	5957.488	0	0	archaeal	100	36
Sulfolobus_virus_1_complete_genome_(provirus)]	4872.55	0	0	archaeal	100	31
Sulfolobus_virus_Kamchatka_1]	6386.543	45.05	0	archaeal	99.29	31
Sulfolobus_virus_Ragged_Hills]	6034.664	28.305	0	archaeal	99.53	37
Sulfolobus_virus_SIRV-1_complete_viral_genome]	12935.719	0	0	archaeal	100	45
Sulfolobus_virus_SIRV-2_genomic_DNA]	13472.495	0	0	archaeal	100	54
Sulfolobus_virus_STSV1]	24599.857	74.353	0	archaeal	99.7	74
Sulfolobus_virus_STSV2_complete_genome.]	25055.391	100.172	24.764	archaeal	99.6	75
Sulfolobus_virus_STSV2]	25055.391	100.172	24.764	archaeal	99.6	75
Thermococcus_prieurii_virus_1_complete_genome.]	12783.345	55.616	0	archaeal	99.56	54
Thermococcus_prieurii_virus_1]	6354.865	27.808	0	archaeal	99.56	28
Thermoproteus_tenax_spherical_virus_1_complete_genome.]	4380.36	0	0	archaeal	100	38
Thermoproteus_tenax_spherical_virus_1]	4380.36	0	0	archaeal	100	38
Thermoproteus_tenax_virus_1_(TTV1)_genome]	2060.114	0	0	archaeal	100	37
TPA:_Aeropyrum_pernix_ovoid_virus_1_complete_genome]	2711.64	0	0	archaeal	100	21
TPA:_Aeropyrum_pernix_spindle-shaped_virus_1_complete_genome]	5900.495	0	0	archaeal	100	53
Turkey_stool_associated_circular_ssDNA_virus_strain_TuSCV_complete_genome.]	0	0	0	none	0	2
Virus_PhiCh1_complete_genome.]	14099.857	189.629	35.316	archaeal	98.66	98
