genome	archaeal_score	phage_score	eukaryotic_score	call	difference.percentage	protein.counts
Sulfolobus_spindle-shaped_virus_2]	6622.921	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_4_complete_genome.]	6911.509	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_4]	6911.509	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_5_complete_genome.]	6625.11	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_5]	6625.11	0	0	archaeal	100	34
Sulfolobus_spindle-shaped_virus_6_complete_genome.]	5106.391	0	0	archaeal	100	33
Sulfolobus_spindle-shaped_virus_6]	5106.391	0	0	archaeal	100	33
Sulfolobus_spindle-shaped_virus_7_complete_genome.]	7168.192	31.11	23.694	archaeal	99.57	33
Sulfolobus_spindle-shaped_virus_7]	7168.192	31.11	23.694	archaeal	99.57	33
Sulfolobus_spindle-shaped_virus_Kamchatka-1_complete_genome.]	6609.65	45.05	0	archaeal	99.32	31
Sulfolobus_spindle-shaped_virus_Ragged_Hills_complete_genome.]	6355.928	28.305	0	archaeal	99.55	37
Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome]	26232.206	438.377	199.994	archaeal	98.33	74
Sulfolobus_turreted_icosahedral_virus_1]	6248.273	0	0	archaeal	100	36
Sulfolobus_turreted_icosahedral_virus_2_complete_genome.]	6161.699	0	26.622	archaeal	99.57	34
Sulfolobus_turreted_icosahedral_virus_2]	6161.699	0	26.622	archaeal	99.57	34
Sulfolobus_turreted_icosahedral_virus_complete_genome.]	6248.273	0	0	archaeal	100	36
Sulfolobus_virus_1_complete_genome_(provirus)]	5198.353	0	0	archaeal	100	31
Sulfolobus_virus_Kamchatka_1]	6609.65	45.05	0	archaeal	99.32	31
Sulfolobus_virus_Ragged_Hills]	6355.928	28.305	0	archaeal	99.55	37
Sulfolobus_virus_SIRV-1_complete_viral_genome]	13392.954	70.605	0	archaeal	99.47	45
Sulfolobus_virus_SIRV-2_genomic_DNA]	14195.661	71.732	0	archaeal	99.49	54
Sulfolobus_virus_STSV1]	26232.206	438.377	199.994	archaeal	98.33	74
Sulfolobus_virus_STSV2_complete_genome.]	27418.441	652.461	366.085	archaeal	97.62	75
Sulfolobus_virus_STSV2]	27418.441	652.461	366.085	archaeal	97.62	75
Thermococcus_prieurii_virus_1_complete_genome.]	12783.345	55.616	0	archaeal	99.56	54
Thermococcus_prieurii_virus_1]	6354.865	27.808	0	archaeal	99.56	28
Thermoproteus_tenax_spherical_virus_1_complete_genome.]	4380.36	0	0	archaeal	100	38
Thermoproteus_tenax_spherical_virus_1]	4380.36	0	0	archaeal	100	38
Thermoproteus_tenax_virus_1_(TTV1)_genome]	2085.854	0	0	archaeal	100	37
TPA:_Aeropyrum_pernix_ovoid_virus_1_complete_genome]	2711.64	0	0	archaeal	100	21
TPA:_Aeropyrum_pernix_spindle-shaped_virus_1_complete_genome]	6420.953	42.686	56.73	archaeal	99.12	53
Turkey_stool_associated_circular_ssDNA_virus_strain_TuSCV_complete_genome.]	140.46	0	73.149	archaeal	47.92	2
Virus_PhiCh1_complete_genome.]	14731.741	1294.348	517.963	archaeal	91.21	98
